Player Name,Team,Pos,Games,G,A,Pts,+/-,PIM,SOG,GWG,G,A,G,A,Hits,BS
Connor McDavid,EDM,C,56,33,72,105,21,20,200,11,9,28,0,0,61,24
Leon Draisaitl,EDM,C,56,31,53,84,29,22,168,8,15,17,1,0,37,12
Brad Marchand,BOS,LW,53,29,40,69,26,46,143,5,4,14,4,3,66,11
Mitch Marner,TOR,C,55,20,47,67,21,20,156,5,0,14,0,2,23,41
Auston Matthews,TOR,C,52,41,25,66,21,10,222,12,10,3,0,0,57,47
Mikko Rantanen,COL,RW,52,30,36,66,30,34,177,7,9,15,0,0,26,20
Patrick Kane,CHI,RW,56,15,51,66,-7,14,191,3,3,19,0,0,13,15
Nathan MacKinnon,COL,C,48,20,45,65,22,37,206,2,8,17,0,0,38,15
Mark Scheifele,WPG,C,56,21,42,63,-4,12,126,4,4,13,0,0,31,38
Sidney Crosby,PIT,C,55,24,38,62,8,26,159,5,5,17,1,0,44,28
Mark Stone,VGK,RW,55,21,40,61,26,28,98,8,6,11,1,0,31,33
Jonathan Huberdeau,FLA,LW,55,20,41,61,12,36,122,1,5,19,0,0,51,11
Aleksander Barkov,FLA,C,50,26,32,58,12,14,176,6,7,12,1,0,31,37
David Perron,STL,RW,56,19,39,58,6,22,151,2,6,15,0,0,45,25
Artemi Panarin,NYR,LW,42,17,41,58,14,6,106,1,5,13,0,0,13,7
Sebastian Aho,CAR,LW,56,24,33,57,16,32,148,7,7,11,3,0,38,25
Jake Guentzel,PIT,LW,56,23,34,57,7,28,141,7,6,12,0,1,43,32
Alex DeBrincat,CHI,RW,52,32,24,56,3,12,155,7,9,9,1,0,70,22
Ryan O'Reilly,STL,C,56,24,30,54,26,18,129,4,4,8,2,0,24,26
Nicklas Backstrom,WAS,C,55,15,38,53,0,14,91,0,5,17,0,0,25,27
Gabriel Landeskog,COL,LW,54,20,32,52,14,34,155,8,9,6,0,0,81,28
Kirill Kaprizov,MIN,LW,55,27,24,51,10,16,157,3,8,5,0,0,29,18
Joe Pavelski,DAL,RW,56,25,26,51,22,16,139,4,13,8,0,0,64,39
Max Pacioretty,VGK,LW,48,24,27,51,20,14,174,6,6,6,0,0,33,29
Kyle Connor,WPG,LW,56,26,24,50,-4,12,166,5,10,3,0,0,18,18
Mika Zibanejad,NYR,C,56,24,26,50,2,18,171,7,10,4,2,2,75,44
John Tavares,TOR,C,56,19,31,50,12,14,163,2,6,6,0,0,51,28
Anze Kopitar,LA,C,56,13,37,50,-7,10,118,4,3,20,0,0,45,37
Brock Boeser,VAN,RW,56,23,26,49,-3,16,141,1,8,6,1,0,32,20
Evander Kane,EDM,LW,56,22,27,49,-1,42,194,2,3,4,2,2,97,22
Johnny Gaudreau,CGY,LW,56,19,30,49,2,6,112,5,7,12,0,0,8,9
Ryan Strome,NYR,C,56,14,35,49,6,39,128,1,3,15,0,2,22,18
Brayden Point,TB,C,56,23,25,48,2,11,131,6,6,9,0,0,23,18
Patrice Bergeron,BOS,C,54,23,25,48,27,16,182,3,7,6,3,1,49,36
David Pastrnak,BOS,RW,48,20,28,48,10,24,176,3,6,8,0,0,35,13
Pavel Buchnevich,STL,LW,54,20,28,48,12,42,120,2,1,7,3,1,49,29
Tyson Barrie,EDM,D,56,8,40,48,5,10,146,2,4,19,0,0,26,59
Elias Lindholm,CGY,RW,56,19,28,47,10,22,130,4,6,10,0,1,53,34
Adam Fox,NYR,D,55,5,42,47,19,14,102,1,2,21,1,1,23,102
Nikolaj Ehlers,WPG,LW,47,21,25,46,15,15,148,5,6,7,0,0,26,12
J.T. Miller,VAN,C,53,15,31,46,-7,43,106,4,3,15,1,0,90,24
Ondrej Palat,TB,LW,55,15,31,46,1,26,111,6,7,13,0,0,82,43
Blake Wheeler,WPG,RW,50,15,31,46,-17,50,113,2,4,11,0,0,63,30
Jason Robertson,DAL,LW,51,17,28,45,13,16,127,3,1,5,0,0,28,13
Mathew Barzal,NYI,C,55,17,28,45,15,48,134,1,1,7,0,0,22,13
Victor Hedman,TB,D,54,9,36,45,5,28,136,2,1,23,0,0,51,73
Kris Letang,PIT,D,55,7,38,45,19,32,132,2,1,14,0,1,92,65
Tyler Toffoli,CGY,RW,52,28,16,44,0,24,158,5,7,3,2,1,75,12
Andre Burakovsky,COL,LW,53,19,25,44,4,10,102,3,4,10,0,0,22,16
Jonathan Marchessault,VGK,LW,55,18,26,44,19,39,176,4,3,3,0,0,44,14
Oliver Bjorkstrand,CLS,RW,56,18,26,44,-15,23,143,0,2,4,0,0,42,30
John Carlson,WAS,D,52,10,34,44,-5,12,128,1,3,12,0,0,52,69
David Krejci,FA,C,51,8,36,44,16,16,83,1,3,13,0,0,25,26
Cale Makar,COL,D,44,8,36,44,17,12,104,3,4,18,0,0,49,36
T.J. Oshie,WAS,RW,53,22,21,43,-3,18,106,1,13,4,0,0,70,27
Phil Kessel,ARI,RW,56,20,23,43,-17,12,115,3,4,9,0,0,8,9
Tomas Hertl,SJ,LW,50,19,24,43,1,27,112,2,4,6,1,0,39,39
Vincent Trocheck,CAR,C,47,17,26,43,-3,20,123,2,7,11,0,0,107,28
James van Riemsdyk,PHI,LW,56,17,26,43,2,14,132,1,10,2,0,0,40,16
Claude Giroux,FLA,C,54,16,27,43,-4,12,120,2,1,10,0,0,32,6
Matthew Tkachuk,CGY,LW,56,16,27,43,6,55,151,0,4,11,0,0,132,9
Roope Hintz,DAL,LW,41,15,28,43,13,4,92,1,6,12,0,0,52,15
