Player,Team,Pos,GP,G,A,Pts,PtsPerG,fPts,fPtsPerG,PPP,SHP,SOG,Hits,BS
Connor McDavid,EDM,F,80,44,79,123,1.54,241.4,3.0,44,1,314,75,26
Johnny Gaudreau,CGY,F,82,40,75,115,1.4,199.2,2.4,25,0,262,10,9
Jonathan Huberdeau,FLA,F,80,30,85,115,1.44,212.6,2.6,38,5,222,99,28
Leon Draisaitl,EDM,F,80,55,55,110,1.38,231.6,2.9,41,1,278,53,25
Kirill Kaprizov,MIN,F,81,47,61,108,1.33,221.2,2.7,31,0,289,73,29
Auston Matthews,TOR,F,73,60,46,106,1.45,253.0,3.5,29,0,348,67,62
Steven Stamkos,TB,F,81,42,64,106,1.31,214.9,2.6,36,0,241,93,31
Matthew Tkachuk,CGY,F,82,42,62,104,1.27,205.1,2.5,29,0,253,93,20
J.T. Miller,VAN,F,80,32,67,99,1.24,216.8,2.7,38,2,206,172,56
Mitch Marner,TOR,F,72,35,62,97,1.35,191.9,2.7,25,4,224,75,31
Roman Josi,NSH,D,80,23,73,96,1.2,238.7,3.0,37,0,281,66,133
Artemi Panarin,NYR,F,75,22,74,96,1.28,163.4,2.2,37,0,177,22,14
Kyle Connor,WPG,F,79,47,46,93,1.18,201.9,2.5,28,3,317,32,23
Mikko Rantanen,COL,F,75,36,56,92,1.23,198.2,2.6,35,0,254,58,43
Patrick Kane,CHI,F,78,26,66,92,1.18,176.3,2.3,31,0,287,11,26
Alex Ovechkin,WAS,F,77,50,40,90,1.17,216.4,2.8,29,1,334,155,25
Aleksander Barkov,FLA,F,67,39,49,88,1.31,189.9,2.8,26,5,214,50,42
Nathan MacKinnon,COL,F,65,32,56,88,1.35,189.7,2.9,27,0,299,68,39
Nazem Kadri,COL,F,71,28,59,87,1.23,168.9,2.4,29,0,247,52,19
Matt Duchene,NSH,F,78,43,43,86,1.1,183.4,2.3,29,0,228,31,28
Cale Makar,COL,D,77,28,58,86,1.12,219.5,2.8,34,0,240,95,110
Kevin Fiala,MIN,F,82,33,52,85,1.04,168.9,2.0,17,1,262,52,21
Victor Hedman,TB,D,82,20,65,85,1.04,219.8,2.7,38,0,219,94,129
Filip Forsberg,NSH,F,69,42,42,84,1.22,197.3,2.9,27,0,226,112,48
Jake Guentzel,PIT,F,76,40,44,84,1.11,187.6,2.5,22,0,264,72,38
Sidney Crosby,PIT,F,69,31,53,84,1.22,174.3,2.5,30,0,208,50,37
Elias Lindholm,CGY,F,82,42,40,82,1.0,190.6,2.3,19,2,235,66,52
Vladimir Tarasenko,STL,F,75,34,48,82,1.09,181.3,2.4,22,1,230,83,45
Sam Reinhart,FLA,F,78,33,49,82,1.05,170.0,2.2,31,2,186,49,30
Sebastian Aho,CAR,F,79,37,44,81,1.03,174.7,2.2,28,3,221,76,23
Mika Zibanejad,NYR,F,81,29,52,81,1.0,178.6,2.2,28,5,219,67,47
Joe Pavelski,DAL,F,82,27,54,81,0.99,187.0,2.3,25,0,216,104,69
William Nylander,TOR,F,81,34,46,80,0.99,172.0,2.1,31,0,256,19,30
Brad Marchand,BOS,F,70,32,48,80,1.14,168.5,2.4,27,2,242,78,20
Jason Robertson,DAL,F,74,41,38,79,1.07,169.5,2.3,21,0,220,50,24
Mats Zuccarello,MIN,F,70,24,55,79,1.13,153.0,2.2,28,0,159,36,33
Alex DeBrincat,CHI,F,82,41,37,78,0.95,187.6,2.3,28,0,270,101,35
Evgeny Kuznetsov,WAS,F,79,24,54,78,0.99,155.5,2.0,27,5,208,42,25
Chris Kreider,NYR,F,81,52,25,77,0.95,207.4,2.6,35,3,258,141,39
David Pastrnak,BOS,F,72,40,37,77,1.07,174.5,2.4,26,0,312,63,14
Robert Thomas,STL,F,72,20,57,77,1.07,130.8,1.8,14,3,115,13,25
Timo Meier,SJ,F,77,35,41,76,0.99,199.3,2.6,18,0,326,162,61
Pavel Buchnevich,STL,F,73,30,46,76,1.04,150.6,2.1,19,4,199,57,15
John Tavares,TOR,F,79,27,49,76,0.96,170.7,2.2,26,0,237,90,44
Jordan Kyrou,STL,F,74,27,48,75,1.01,142.9,1.9,19,1,188,6,23
Adam Fox,NYR,D,78,11,63,74,0.95,185.3,2.4,33,2,158,30,128
Jesper Bratt,NJ,F,76,26,47,73,0.96,145.3,1.9,18,0,197,26,30
Roope Hintz,DAL,F,80,37,35,72,0.9,179.0,2.2,24,4,213,82,53
John Carlson,WAS,D,78,17,54,71,0.91,184.8,2.4,25,3,195,73,112
Mark Scheifele,WPG,F,67,29,41,70,1.04,151.5,2.3,19,0,159,36,47
Dylan Larkin,DET,F,71,31,38,69,0.97,149.8,2.1,13,1,212,76,28
Andrei Svechnikov,CAR,F,78,30,39,69,0.88,161.3,2.1,22,0,249,189,15
Nikita Kucherov,TB,F,47,25,44,69,1.47,131.3,2.8,30,0,156,32,7
Tage Thompson,BUF,F,78,38,30,68,0.87,159.4,2.0,16,2,253,66,25
Elias Pettersson,VAN,F,80,32,36,68,0.85,160.1,2.0,27,2,192,49,43
Morgan Rielly,TOR,D,82,10,58,68,0.83,165.8,2.0,23,3,221,92,87
Kris Letang,PIT,D,78,10,58,68,0.87,188.5,2.4,22,0,214,171,122
Quinn Hughes,VAN,D,76,8,60,68,0.89,137.4,1.8,31,2,150,19,56
Troy Terry,ANH,F,75,37,30,67,0.89,144.8,1.9,15,0,192,6,27
Brady Tkachuk,OTT,F,79,30,37,67,0.85,173.8,2.2,17,0,288,270,25
Anze Kopitar,LA,F,81,19,48,67,0.83,161.2,2.0,22,1,210,72,71
Jonathan Marchessault,VGK,F,76,30,36,66,0.87,145.7,1.9,20,0,251,61,17
Ryan Hartman,MIN,F,82,34,31,65,0.79,158.1,1.9,8,0,239,72,48
Patrice Bergeron,BOS,F,73,25,40,65,0.89,162.6,2.2,23,3,293,78,45
Teuvo Teravainen,CAR,F,77,22,43,65,0.84,140.7,1.8,31,3,202,15,30
Claude Giroux,FLA,F,75,21,44,65,0.87,132.8,1.8,23,0,205,68,16
Tomas Hertl,SJ,F,82,30,34,64,0.78,162.0,2.0,16,1,205,105,57
Chandler Stephenson,VGK,F,79,21,43,64,0.81,134.3,1.7,14,2,125,68,44
Mikael Granlund,NSH,F,80,11,53,64,0.8,132.4,1.6,28,0,117,92,45
Jeff Skinner,BUF,F,80,33,30,63,0.79,140.6,1.8,11,0,262,29,20
Clayton Keller,ARI,F,67,28,35,63,0.94,132.4,2.0,11,2,177,17,31
Ryan Johansen,NSH,F,79,26,37,63,0.8,137.5,1.7,24,0,118,72,35
Michael Bunting,TOR,F,79,23,40,63,0.8,125.0,1.6,5,0,175,85,21
Tyler Bertuzzi,DET,F,68,30,32,62,0.91,145.0,2.1,14,2,180,65,41
Jakub Voracek,CLS,F,79,6,56,62,0.78,111.9,1.4,25,0,147,27,28
Trevor Zegras,ANH,F,75,23,38,61,0.81,129.7,1.7,17,0,181,56,27
Andre Burakovsky,COL,F,80,22,39,61,0.76,125.3,1.6,11,0,149,49,34
Nick Suzuki,MON,F,82,21,40,61,0.74,152.0,1.9,20,3,186,89,62
Taylor Hall,BOS,F,81,20,41,61,0.75,133.7,1.6,15,0,217,55,36
Pierre-Luc Dubois,WPG,F,81,28,32,60,0.74,153.5,1.9,19,0,233,112,43
Ivan Barbashev,STL,F,81,26,34,60,0.74,132.6,1.6,9,2,111,160,28
Nico Hischier,NJ,F,70,21,39,60,0.86,132.3,1.9,12,2,153,50,48
Blake Wheeler,WPG,F,65,17,43,60,0.92,128.4,2.0,20,0,167,62,37
Brock Nelson,NYI,F,72,37,22,59,0.82,144.7,2.0,14,0,171,31,43
Gabriel Landeskog,COL,F,51,30,29,59,1.16,137.9,2.7,15,0,150,94,34
Alex Killorn,TB,F,82,25,34,59,0.72,129.2,1.6,14,0,164,88,26
Nick Schmaltz,ARI,F,63,23,36,59,0.94,113.8,1.8,8,0,123,15,28
Mathew Barzal,NYI,F,73,15,44,59,0.81,112.2,1.5,20,0,161,36,17
Anthony Duclair,FLA,F,74,31,27,58,0.78,128.0,1.7,21,0,167,38,16
Brayden Point,TB,F,66,28,30,58,0.88,135.6,2.0,22,0,176,75,27
Bryan Rust,PIT,F,60,24,34,58,0.97,126.8,2.1,21,0,180,43,24
